n,operations_median,time_median,operations_brute,time_brute
2500,2603,8e-05,4277500,0.042012
2500,1392,3.7e-05,5180000,0.044263
2500,4649,7.5e-05,5050000,0.042057
2500,4216,0.000105,2542500,0.024346
2500,4997,9.6e-05,5540000,0.055158
2500,6235,8.6e-05,3387500,0.033527
2500,2953,7.6e-05,4315000,0.040621
2500,2832,6.9e-05,5060000,0.042857
2500,6272,9.6e-05,2442500,0.024585
2500,7627,0.000131,4062500,0.038129
2500,5884,8.9e-05,910000,0.010108
2500,2685,7.1e-05,2340000,0.020368
2500,3286,8.8e-05,5322500,0.049206
2500,2655,6e-05,477500,0.004505
2500,5700,7.4e-05,4857500,0.04137
2500,6036,9.8e-05,5732500,0.048794
2500,3519,7.9e-05,5885000,0.054214
2500,3215,0.00011,5290000,0.050188
2500,2644,7.2e-05,75000,0.000638
2500,5800,0.000131,1305000,0.011935
2500,2808,7.8e-05,5400000,0.052966
2500,1819,5.6e-05,72500,0.000677
2500,3473,5.8e-05,642500,0.005661
2500,1819,4.8e-05,1740000,0.015394
2500,1639,4.1e-05,117500,0.00102
5000,10119,0.00018,8390000,0.090683
5000,7011,0.000168,22845000,0.229471
5000,12317,0.000187,2685000,0.026619
5000,9561,0.000197,22650000,0.207511
5000,5692,0.000125,14305000,0.125953
5000,6153,0.000156,21300000,0.196738
5000,5342,0.000145,20005000,0.177393
5000,7804,0.000127,18530000,0.161613
5000,4090,0.000109,7190000,0.059779
5000,3847,0.000138,3330000,0.031401
5000,8305,0.000148,12935000,0.117843
5000,6370,0.000125,23350000,0.223581
5000,8477,0.000163,7610000,0.067234
5000,8673,0.000159,5145000,0.047164
5000,6864,0.000133,12810000,0.12382
5000,9117,0.000157,10740000,0.09819
5000,12036,0.000195,9865000,0.083568
5000,10489,0.000166,6340000,0.056992
5000,7170,0.000152,22290000,0.206549
5000,10127,0.000172,13055000,0.120073
5000,13063,0.000197,2500000,0.023215
5000,6217,0.000135,625000,0.006
5000,3383,9e-05,7090000,0.063812
5000,8028,0.000164,19830000,0.175031
5000,13311,0.0002,19775000,0.166289
7500,14712,0.000279,1965000,0.016583
7500,12776,0.000215,15930000,0.138985
7500,23917,0.000292,32385000,0.291083
7500,8783,0.000159,7657500,0.064613
7500,9951,0.000194,54600000,0.472748
7500,9647,0.00019,945000,0.007724
7500,7099,0.000159,50145000,0.434561
7500,14308,0.000256,38115000,0.330455
7500,22474,0.000333,3225000,0.027163
7500,7248,0.000186,44917500,0.398501
7500,18732,0.000366,26827500,0.246039
7500,6984,0.000182,19950000,0.188831
7500,10445,0.000222,45292500,0.398521
7500,8699,0.000166,43275000,0.380602
7500,15224,0.000269,25470000,0.217588
7500,11212,0.000213,4800000,0.045314
7500,16077,0.000226,8092500,0.071226
7500,12522,0.000251,51937500,0.463139
7500,10666,0.000205,6915000,0.057738
7500,13705,0.000206,30690000,0.29438
7500,10813,0.000218,26947500,0.235674
7500,7211,0.000166,8767500,0.083397
7500,8787,0.000167,22545000,0.195913
7500,9930,0.00022,47625000,0.410252
7500,17584,0.000271,48937500,0.434427
10000,33828,0.000455,68530000,0.612512
10000,11468,0.000204,89080000,0.76863
10000,13482,0.000256,65470000,0.568402
10000,19988,0.000285,72260000,0.627792
10000,7340,0.000185,98560000,0.846128
10000,10728,0.000228,77720000,0.6917
10000,39850,0.000504,69980000,0.614182
10000,13930,0.000293,87220000,0.745353
10000,43088,0.000648,9820000,0.086122
10000,17226,0.000305,31620000,0.27586
10000,10676,0.000236,30690000,0.257269
10000,12908,0.000255,56800000,0.495307
10000,13079,0.000304,30840000,0.270198
10000,9160,0.000272,89040000,0.784403
10000,18715,0.0003,95250000,0.871103
10000,22267,0.000309,99910000,0.902738
10000,20370,0.000357,93260000,0.90103
10000,18656,0.000429,97720000,0.894729
10000,12753,0.000228,13270000,0.122346
10000,24762,0.000383,33690000,0.311237
10000,14123,0.000379,71550000,0.65537
10000,18783,0.000315,49500000,0.453715
10000,18638,0.000283,55340000,0.503094
10000,12006,0.000306,55450000,0.515714
10000,26044,0.000506,33620000,0.316045
12500,17372,0.000379,125050000,1.16621
12500,24633,0.000473,26750000,0.246605
12500,18006,0.000401,120400000,1.11137
12500,89410,0.001261,18350000,0.167779
12500,18718,0.000435,53037500,0.489857
12500,10109,0.000278,27975000,0.264209
12500,18800,0.000395,143200000,1.31408
12500,13041,0.000423,155175000,1.42156
12500,17243,0.000367,37500,0.000351
12500,23680,0.000397,91187500,0.819642
12500,19939,0.000466,54075000,0.489255
12500,10292,0.000269,27637500,0.243737
12500,22018,0.000389,30712500,0.274512
12500,19143,0.000583,147175000,1.33702
12500,21561,0.000349,109387500,0.985538
12500,8252,0.000216,5150000,0.045622
12500,15535,0.000283,11500000,0.101721
12500,8690,0.000245,70362500,0.662995
12500,38787,0.00054,122825000,1.11929
12500,42550,0.00065,58237500,0.520943
12500,15276,0.000382,36062500,0.328165
12500,20140,0.000352,110100000,1.00168
12500,12804,0.000356,35900000,0.37672
12500,20179,0.000375,139037500,1.28684
12500,12355,0.000308,81975000,0.724378
15000,17601,0.000442,65685000,0.605668
15000,17107,0.000369,220545000,2.11978
15000,7949,0.000208,71910000,0.680218
15000,30928,0.000715,88200000,0.849331
15000,23951,0.000503,24105000,0.227113
15000,9619,0.000254,182010000,1.69718
15000,22814,0.000525,180885000,1.67393
15000,32680,0.000488,89940000,0.813769
15000,27818,0.000446,14415000,0.128497
15000,34764,0.000475,215805000,1.98209
15000,17551,0.000308,182910000,1.6779
15000,32137,0.000503,109710000,1.00586
15000,37100,0.00055,8340000,0.077836
15000,45473,0.000951,117915000,1.08231
15000,19271,0.000404,89790000,0.818035
15000,16687,0.000422,169740000,1.55173
15000,33283,0.00071,189945000,1.72949
15000,13524,0.000328,69600000,0.630114
15000,21501,0.000415,48060000,0.446868
15000,32670,0.000646,10935000,0.100372
15000,15946,0.000457,219345000,2.04731
15000,35413,0.000527,52905000,0.496033
15000,43838,0.000644,211395000,1.94953
15000,25966,0.000507,153105000,1.38139
15000,21834,0.000412,41265000,0.382886
17500,30116,0.000538,36137500,0.332362
17500,41218,0.001096,161472500,1.46758
17500,20417,0.000446,300230000,2.76209
17500,34488,0.000615,61775000,0.568459
17500,22296,0.000406,183522500,1.58006
17500,46962,0.000658,264915000,2.35962
17500,32441,0.000541,221305000,1.98811
17500,32534,0.000573,119367500,1.08206
17500,17902,0.000453,122237500,1.10904
17500,20521,0.000497,152862500,1.33374
17500,29081,0.000453,191852500,1.65553
17500,21443,0.000443,76370000,0.654691
17500,40908,0.000681,6545000,0.054242
17500,11440,0.000283,280752500,2.38583
17500,39608,0.000659,168105000,1.43325
17500,27333,0.00049,4060000,0.032797
17500,24617,0.000505,291322500,2.55118
17500,40171,0.000617,216230000,1.90246
17500,26069,0.000515,233940000,2.10806
17500,54520,0.001432,262482500,2.38753
17500,33698,0.000557,170082500,1.53537
17500,14422,0.000383,36575000,0.320588
17500,30909,0.000513,73430000,0.635978
17500,18675,0.000551,137532500,1.25392
17500,15211,0.000426,236180000,2.05108
20000,23699,0.000588,384120000,3.39097
20000,32170,0.000579,152680000,1.37684
20000,40814,0.000646,317520000,2.87256
20000,47942,0.000843,92320000,0.833352
20000,44587,0.000709,215820000,1.84934
20000,32491,0.000525,277860000,2.47793
20000,39765,0.000554,88140000,0.784501
20000,39013,0.000665,299340000,2.67524
20000,21511,0.000522,58000000,0.519117
20000,24466,0.000527,188120000,1.70606
20000,23371,0.00058,141000000,1.20468
20000,30982,0.000483,321340000,2.71023
20000,43279,0.000863,251280000,2.13987
20000,57266,0.000884,149140000,1.34035
20000,23488,0.000444,101440000,0.857764
20000,20170,0.000439,370520000,3.16014
20000,29108,0.000525,290300000,2.50077
20000,25468,0.000602,22460000,0.203803
20000,15910,0.000412,267140000,2.2572
20000,42316,0.000694,11200000,0.102971
20000,46212,0.000711,1580000,0.012817
20000,36380,0.00059,361740000,3.14041
20000,32810,0.000658,21740000,0.184113
20000,21061,0.000472,29340000,0.251398
20000,15612,0.000379,8840000,0.075356
22500,68397,0.001,147667500,1.25452
22500,28919,0.000577,346882500,2.95557
22500,42476,0.00072,481995000,4.14108
22500,40349,0.000748,249412500,2.11672
22500,18473,0.00049,403717500,3.45957
22500,40125,0.000806,282667500,2.41561
22500,26894,0.00074,2857500,0.027543
22500,30430,0.000602,170595000,1.47434
22500,35983,0.000849,112005000,0.972255
22500,37330,0.000692,390600000,3.33697
22500,28556,0.000575,304965000,2.58432
22500,30062,0.000579,479227500,4.0637
22500,34495,0.000614,5197500,0.050779
22500,54903,0.00081,401715000,3.44644
22500,58397,0.00083,204030000,1.74518
22500,43942,0.000736,458010000,3.94414
22500,65969,0.000901,274590000,2.38003
22500,37863,0.000779,29160000,0.269099
22500,26100,0.000451,171022500,1.50977
22500,18013,0.000549,60390000,0.563952
22500,35611,0.000654,165397500,1.45595
22500,25537,0.000513,13387500,0.123718
22500,70807,0.000871,411615000,3.67149
22500,68112,0.000933,430942500,3.8516
22500,20907,0.000449,207472500,1.80416
25000,43635,0.000781,79450000,0.703857
25000,20015,0.000487,521400000,4.64087
25000,24999,0.000679,508725000,4.5194
25000,49599,0.001015,409950000,3.67705
25000,24266,0.000594,177250000,1.59297
25000,56379,0.000858,349650000,3.06754
25000,48752,0.000861,154400000,1.34702
25000,37372,0.00071,598950000,5.34881
25000,52270,0.000821,590225000,5.24187
25000,24015,0.001132,523300000,4.73956
25000,65935,0.000964,95875000,0.842532
25000,17540,0.000558,406275000,3.56006
25000,16773,0.000428,256300000,2.29554
